Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Feb,48.78,0.51,10.53,Memphis FIR
Feb,47.68,1.68,35.31,Minneapolis FIR
Feb,32.45,0.36,11.01,New York FIR
Feb,38.67,0.27,6.98,Oakland FIR
Feb,35.46,0.64,18.15,Cleveland FIR
Feb,30.9,0.38,12.21,Seattle FIR
Feb,58.4,0.59,10.16,Atlanta FIR
Feb,46.24,1.76,38.04,New York Oceanic FIR
Feb,1.63,0.02,14.58,Tirana FIR
Feb,13.74,0.31,22.89,Sofia FIR
Feb,8.86,0.04,4.27,Nicosia FIR
Feb,7.55,0.18,24.38,Zagreb FIR
Feb,18.22,-0.0,-0.07,Barcelona FIR
Feb,41.42,0.96,23.22,Madrid FIR
Feb,19.72,0.6,30.43,Bordeaux FIR
Feb,7.18,0.16,22.43,Reims FIR
Feb,36.65,1.41,38.47,Paris FIR
Feb,25.53,0.33,13.04,Marseille FIR
Feb,20.04,1.34,66.99,Brest FIR
Feb,20.7,0.22,10.65,Athinai FIR
Feb,12.35,0.38,30.41,Budapest FIR
Feb,4.9,0.05,10.53,Brindisi FIR
Feb,20.94,0.37,17.5,Milano FIR
Feb,19.98,0.17,8.44,Roma FIR
Feb,2.16,0.05,25.21,Ljubljana FIR
Feb,13.06,0.58,44.31,Praha FIR
Feb,1.51,0.0,0.56,Tel-Aviv FIR
Feb,3.44,0.03,8.22,Malta FIR
Feb,14.95,0.47,31.64,Wien FIR
Feb,22.78,0.53,23.15,Lisboa FIR
Feb,20.19,1.38,68.47,Santa Maria FIR
Feb,4.07,0.09,23.09,Sarajevo FIR
Feb,18.63,0.53,28.66,Bucarest FIR
Feb,8.76,0.16,17.88,Switzerland FIR
Feb,50.04,0.9,18.06,Ankara FIR
Feb,20.84,0.28,13.35,Istanbul FIR
Feb,0.48,0.03,59.43,Chisinau FIR
Feb,1.21,0.02,13.61,Skopje FIR
Feb,9.13,0.17,18.47,Beograd FIR
Feb,4.6,0.21,45.38,Bratislava  FIR
Feb,3.36,0.0,0.04,Santo Domingo FIR
Feb,12.77,0.01,0.57,Central America FIR
Feb,5.98,0.0,0.0,Kingston FIR
Feb,0.19,0.0,1.26,Oceanica Mazatlan FIR
Feb,68.25,0.26,3.8,Mexico FIR
Feb,8.83,0.01,1.2,Panama FIR
Feb,0.82,0.0,0.0,Port-Au-Prince FIR
Feb,11.24,0.0,0.07,Habana FIR/UIR
