Region,Subset,Share below 50% capacity (%),Share below avg capacity (%)
Bucarest FIR,Night (20h–04h),1.040160964479008,16.794683338990158
Bucarest FIR,Winter & Night,0.9864885453498996,12.065505720426588
Bucarest FIR,Winter (Oct–Mar),29.094575311419916,41.17865320602216
Budapest FIR,All hours,36.436171560828335,57.928365280327206
Budapest FIR,Night (20h–04h),1.6719981479160784,28.014491665858905
Budapest FIR,Winter & Night,0.6667665930945312,16.02196990549143
Budapest FIR,Winter (Oct–Mar),17.477128911625172,33.71907871130965
Canarias FIR,All hours,12.43707856074207,45.78543404156396
Canarias FIR,Night (20h–04h),5.86393905393491,42.784822805697544
Canarias FIR,Winter & Night,5.642113116752125,27.25210014413737
Canarias FIR,Winter (Oct–Mar),8.835228297455059,27.055188759613916
Chisinau FIR,All hours,5.201486762411939,61.61515415957316
Chisinau FIR,Night (20h–04h),0.0806916971381848,13.793508709083236
Chisinau FIR,Winter & Night,0.0,11.873350667246367
Chisinau FIR,Winter (Oct–Mar),5.338179774151004,48.91898893624578
Copenhagen FIR,All hours,63.3701258616827,78.50148603993114
Copenhagen FIR,Night (20h–04h),15.354388988417213,29.56300085395094
Copenhagen FIR,Winter & Night,10.586079325778549,20.645207627688084
Copenhagen FIR,Winter (Oct–Mar),56.01667370802628,71.3333848765802
Dnipro FIR,All hours,2.9187028744543784,58.319906102825804
Dnipro FIR,Night (20h–04h),0.3867130872020512,18.755500893957656
Dnipro FIR,Winter & Night,0.3764,11.826751142034192
Dnipro FIR,Winter (Oct–Mar),1.418989211956375,42.06612286707948
Helsinki FIR,All hours,27.518815089514067,65.8451243560743
Helsinki FIR,Night (20h–04h),1.2671263341321994,19.709272609424684
Helsinki FIR,Winter & Night,1.3563153466465847,13.810123894797323
Helsinki FIR,Winter (Oct–Mar),27.810420591551285,61.38782637983649
Istanbul FIR,All hours,47.72114398147551,43.87309655697165
Istanbul FIR,Night (20h–04h),10.126996551066512,20.267673045744065
Istanbul FIR,Winter & Night,2.7887373576175287,16.925703734465582
Istanbul FIR,Winter (Oct–Mar),32.40284277213595,47.803357762700564
Kiev FIR,All hours,13.729341316221838,56.42364836153352
Kiev FIR,Night (20h–04h),1.3384834003537038,15.379865762522021
Kiev FIR,Winter & Night,1.1322347414889014,10.747932207103618
Kiev FIR,Winter (Oct–Mar),7.705372694946401,47.001660986823566
Langen FIR,All hours,67.02930838966373,67.83472858099348
Langen FIR,Night (20h–04h),16.271526667617422,29.600285724581493
Langen FIR,Winter & Night,8.703004719515285,17.479035808435786
Langen FIR,Winter (Oct–Mar),46.83538947495714,51.278039729251866
Lisboa FIR,All hours,34.458538924679154,60.55715820222424
Lisboa FIR,Night (20h–04h),4.6601333105775895,36.42457133402188
Lisboa FIR,Winter & Night,2.9398829653370795,20.655345470387218
Lisboa FIR,Winter (Oct–Mar),25.692032577474677,43.133286237874934
Ljubljana FIR,All hours,15.154997916460163,55.322449425316954
Ljubljana FIR,Night (20h–04h),1.7640871747160405,30.793709991053355
Ljubljana FIR,Winter & Night,0.19282771910868712,12.96153531148065
Ljubljana FIR,Winter (Oct–Mar),6.267021765683393,40.44935050004739
London FIR,All hours,23.404874680154716,51.49497420226926
London FIR,Night (20h–04h),1.8024175781875797,32.39668379719736
London FIR,Winter & Night,0.9429995520708696,19.38072341721479
London FIR,Winter (Oct–Mar),25.322211917341548,58.13098635908297
Lvov FIR,All hours,5.481289145226727,62.16411690447122
Lvov FIR,Night (20h–04h),0.5274079790068373,13.43286288603984
Lvov FIR,Winter & Night,0.9107034399950753,7.663653972367133
Lvov FIR,Winter (Oct–Mar),3.1349881844917684,46.84023768002262
Madrid FIR,All hours,50.67478436735726,68.20289090936787
Madrid FIR,Night (20h–04h),21.989651319776893,46.39892957142711
Madrid FIR,Winter & Night,10.437717203634453,28.413254039677348
Madrid FIR,Winter (Oct–Mar),32.12514998746463,52.99096572549875
Malta FIR,All hours,29.642866839148994,54.40277465589824
