Date,Departure airport,Number of big hits
2019-05-02,Frankfurt am Main Airport,37
2019-05-02,London Heathrow Airport,60
2019-05-03,Charles de Gaulle International Airport,38
2019-05-03,Frankfurt am Main Airport,46
2019-05-03,London Heathrow Airport,73
2019-05-04,Charles de Gaulle International Airport,44
2019-05-04,Frankfurt am Main Airport,48
2019-05-04,London Heathrow Airport,73
2019-05-05,Charles de Gaulle International Airport,37
2019-05-05,Frankfurt am Main Airport,35
2019-05-05,London Heathrow Airport,61
2019-05-06,Charles de Gaulle International Airport,27
2019-05-06,Frankfurt am Main Airport,30
2019-05-06,London Heathrow Airport,45
2019-05-07,Charles de Gaulle International Airport,45
2019-05-07,Frankfurt am Main Airport,36
2019-05-07,London Heathrow Airport,63
2019-05-08,Charles de Gaulle International Airport,54
2019-05-08,Frankfurt am Main Airport,74
2019-05-08,London Heathrow Airport,59
2019-05-09,Charles de Gaulle International Airport,30
2019-05-09,Frankfurt am Main Airport,33
2019-05-09,London Heathrow Airport,45
2019-05-10,Charles de Gaulle International Airport,35
2019-05-10,Frankfurt am Main Airport,25
2019-05-10,London Heathrow Airport,66
2019-05-11,Charles de Gaulle International Airport,41
2019-05-11,Frankfurt am Main Airport,42
2019-05-11,London Heathrow Airport,37
2019-05-12,Charles de Gaulle International Airport,43
2019-05-12,Frankfurt am Main Airport,61
2019-05-12,London Heathrow Airport,70
2019-05-13,Charles de Gaulle International Airport,26
2019-05-13,Frankfurt am Main Airport,36
2019-05-13,London Heathrow Airport,35
2019-05-14,Charles de Gaulle International Airport,29
2019-05-14,Frankfurt am Main Airport,27
2019-05-14,London Heathrow Airport,38
2019-05-15,Charles de Gaulle International Airport,30
2019-05-15,Frankfurt am Main Airport,46
2019-05-15,London Heathrow Airport,41
2019-05-16,Charles de Gaulle International Airport,26
2019-05-16,Frankfurt am Main Airport,35
2019-05-16,London Heathrow Airport,35
2019-05-17,Charles de Gaulle International Airport,39
2019-05-17,Frankfurt am Main Airport,52
2019-05-17,London Heathrow Airport,39
2019-05-18,Charles de Gaulle International Airport,34
2019-05-18,Frankfurt am Main Airport,39
2019-05-18,London Heathrow Airport,46
2019-05-19,Charles de Gaulle International Airport,57
2019-05-19,Frankfurt am Main Airport,52
2019-05-19,London Heathrow Airport,100
2019-05-20,Charles de Gaulle International Airport,29
2019-05-20,Frankfurt am Main Airport,40
