,time,file,region_id,area_km2,pt in mask,vol_km3,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing,min_lat,max_lat,min_lon,max_lon,min_FL,max_FL,area_by_FL
2358339,2024-12-01 14:00:00,20241201T14.nc,126,619.18445,1,188.72741982421877,304.8,0.0,320.0,36.75,-4.2499995,586023500.0,586023500.0,0.0,36.75,36.75,-4.25,-4.25,320,320,{320: 619.1844482421875}
1084942,2024-07-18 20:00:00,20240718T20.nc,188,578.9692,2,176.4698052246094,304.8,0.0,340.0,68.0,-65.62499,536185630.0,545943400.0,9757792.0,68.0,68.0,-65.75,-65.5,340,340,{340: 578.9691772460938}
1186566,2024-08-07 16:00:00,20240807T16.nc,98,1036.6682,2,315.97647128906254,304.8,0.0,340.0,47.8747,14.25,527184220.0,551764900.0,24580704.0,47.75,48.0,14.25,14.25,340,340,{340: 1036.668212890625}
2520670,2024-12-16 08:00:00,20241216T08.nc,14,721.44244,1,219.89565688476563,304.8,0.0,380.0,21.0,-20.5,691794300.0,691794300.0,0.0,21.0,21.0,-20.5,-20.5,380,380,{380: 721.4424438476562}
1837438,2024-10-17 12:00:00,20241017T12.nc,414,235.58984,1,71.807784375,304.8,0.0,320.0,72.25001,-54.0,515290180.0,515290180.0,0.0,72.25,72.25,-54.0,-54.0,320,320,{320: 235.58984375}
1366197,2024-09-10 14:00:00,20240910T14.nc,382,446.00015,1,135.9408465087891,304.8,0.0,330.0,54.75,60.249996,516051260.0,516051260.0,0.0,54.75,54.75,60.25,60.25,330,330,{330: 446.0001525878906}
2103715,2024-11-10 13:00:00,20241110T13.nc,184,580.99884,1,177.08844653320313,304.8,0.0,300.0,41.25,6.4999995,547496700.0,547496700.0,0.0,41.25,41.25,6.5,6.5,300,300,{300: 580.9988403320312}
608591,2024-04-22 12:00:00,20240422T12.nc,202,1387.101,3,422.7883702148438,304.8,0.0,390.0,53.25,-12.249998,559726660.0,598100500.0,31249054.0,53.25,53.25,-12.5,-12.0,390,390,{390: 1387.1009521484375}
2028594,2024-11-04 03:00:00,20241104T03.nc,258,2283.1648,6,695.9086294921875,304.8,0.0,330.0,60.498714,83.12371,508251000.0,531366620.0,10541809.0,60.25,60.75,82.75,83.5,330,330,{330: 2283.164794921875}
2531940,2024-12-17 06:00:00,20241217T06.nc,501,420.88043,1,128.28435571289063,304.8,0.0,270.0,57.000004,41.5,938795300.0,938795300.0,0.0,57.0,57.0,41.5,41.5,270,270,{270: 420.88043212890625}
68040,2024-01-14 01:00:00,20240114T01.nc,194,440.47607,1,134.257107421875,304.8,0.0,360.0,55.25,-42.499996,535730900.0,535730900.0,0.0,55.25,55.25,-42.5,-42.5,360,360,{360: 440.47607421875}
948515,2024-06-20 01:00:00,20240620T01.nc,86,631.0757,1,192.351868359375,304.8,0.0,380.0,35.25,-83.49999,687566100.0,687566100.0,0.0,35.25,35.25,-83.5,-83.5,380,380,{380: 631.07568359375}
2146573,2024-11-14 09:00:00,20241114T09.nc,244,478.4169,1,145.82147131347656,304.8,0.0,310.0,51.75,21.249998,575490000.0,575490000.0,0.0,51.75,51.75,21.25,21.25,310,310,{310: 478.4169006347656}
2611305,2024-12-24 17:00:00,20241224T17.nc,70,644.40155,1,196.4135925292969,304.8,0.0,340.0,33.5,-41.249996,589784640.0,589784640.0,0.0,33.5,33.5,-41.25,-41.25,340,340,{340: 644.4015502929688}
