week,region,+80th-percentile,+95th-percentile,Negative,Non-zero,Positive
6,Brindisi FIR,0.0291,0.0068,0.0519,0.1544,0.1025
6,Brussels FIR,0.1483,0.0424,0.0352,0.3971,0.3619
6,Bucarest FIR,0.0425,0.0074,0.1117,0.3223,0.2107
6,Budapest FIR,0.0616,0.0092,0.0998,0.3588,0.2589
6,Canarias FIR,0.0112,0.0019,0.0266,0.0737,0.0471
6,Chisinau FIR,0.0669,0.008,0.1111,0.3701,0.259
6,Copenhagen FIR,0.0802,0.0091,0.0504,0.4014,0.351
6,Helsinki FIR,0.0559,0.0246,0.0169,0.1215,0.1045
6,Langen FIR,0.1354,0.0292,0.0596,0.4552,0.3955
6,Lisboa FIR,0.0278,0.004,0.0429,0.1635,0.1206
6,Ljubljana FIR,0.0722,0.0131,0.113,0.4024,0.2894
6,London FIR,0.1307,0.0347,0.0461,0.3402,0.2941
6,Madrid FIR,0.0446,0.0109,0.0494,0.18,0.1306
6,Malta FIR,0.0133,0.004,0.0341,0.0849,0.0507
6,Marseille FIR,0.0504,0.0114,0.0625,0.2252,0.1627
6,Milano FIR,0.0741,0.0135,0.0794,0.3195,0.2401
6,Munchen FIR,0.1107,0.0256,0.0814,0.4845,0.4031
6,Paris FIR,0.1036,0.031,0.0472,0.3301,0.283
6,Polaris FIR,0.0482,0.0096,0.0254,0.1582,0.1328
6,Praha FIR,0.1015,0.019,0.0975,0.5118,0.4143
6,Reims FIR,0.0802,0.0193,0.0933,0.3569,0.2636
6,Reykjavik FIR,0.0383,0.0081,0.0135,0.0897,0.0762
6,Riga FIR,0.0373,0.0088,0.0276,0.1527,0.1251
6,Roma FIR,0.0239,0.0058,0.0374,0.1308,0.0934
6,Santa Maria FIR,0.022,0.0042,0.0266,0.1027,0.0761
6,Sarajevo FIR,0.0508,0.0091,0.0875,0.2626,0.1751
6,Scottish FIR,0.1166,0.0249,0.0471,0.3336,0.2865
6,Shannon FIR,0.0892,0.0218,0.0399,0.2693,0.2295
6,Skopje FIR,0.0324,0.0134,0.1013,0.2482,0.1469
6,Sofia FIR,0.0648,0.0162,0.1234,0.3233,0.1999
