Hour,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
01-01 03,Reykjavik FIR,0.254407,0.261935,0.201232,0.078234,0.007569,0.0
01-01 03,Riga FIR,0.281,0.557736,0.184657,0.0,0.0,0.0
01-01 03,Roma FIR,0.00047,0.146389,0.196047,0.052312,0.0,0.0
01-01 03,Santa Maria FIR,0.0,0.010384,0.066517,0.080096,0.005773,0.0
01-01 03,Sarajevo FIR,0.022343,0.233678,0.074316,0.033371,0.0,0.0
01-01 03,Scottish FIR,0.028629,0.0,0.0,0.0,0.0,0.0
01-01 03,Shannon FIR,0.180306,0.03289,0.002166,0.0,0.0,0.0
01-01 03,Shanwick FIR,0.002818,0.059356,0.105819,0.031912,0.0,0.0
01-01 03,Simferopol FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Skopje FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Sofia FIR,0.034856,0.068352,0.020117,0.0,0.0,0.0
01-01 03,Southeast Asia,0.0,0.0,0.0,0.000231,0.011666,0.047648
01-01 03,Sweden FIR,0.036512,0.176835,0.075698,0.0,0.0,0.0
01-01 03,Switzerland FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Tallinn FIR,0.0,0.089541,0.005366,0.0,0.0,0.0
01-01 03,Tibilisi FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Tirana FIR,0.0,0.110009,0.015829,0.0,0.0,0.0
01-01 03,USA,0.028513,0.037768,0.028579,0.014556,0.000654,0.0
01-01 03,Vilnius FIR,0.308684,0.911338,0.450223,0.0,0.0,0.0
01-01 03,Warszawa FIR,0.004007,0.251867,0.228705,0.185412,0.066369,0.0
01-01 03,Wien FIR,0.008115,0.018252,0.020432,0.004053,0.0,0.0
01-01 03,Yerevan FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Zagreb FIR,0.019364,0.153917,0.115805,0.030189,0.0,0.0
01-01 04,Africa & Middle East,7.3e-05,0.003708,0.006012,0.011238,0.006588,0.012274
01-01 04,Amsterdam FIR,0.184539,0.0,0.0,0.0,0.0,0.0
01-01 04,Ankara FIR,0.002378,0.0,0.0,0.0,0.0,0.0
01-01 04,Arctic,0.15974,0.108503,0.066434,0.039826,0.013641,0.001496
01-01 04,Athinai FIR,0.00109,0.006627,0.0,0.0,0.0,0.0
01-01 04,Barcelona FIR,0.000709,0.358347,0.320112,0.0,0.0,0.0
01-01 04,Beograd FIR,0.013918,0.145426,0.063629,0.003311,0.0,0.0
01-01 04,Bodo Oceanic FIR,0.243341,0.179015,0.152204,0.107835,0.004343,0.0
01-01 04,Bordeaux FIR,0.096248,0.260907,0.180635,0.0,0.0,0.0
01-01 04,Bratislava  FIR,0.007094,0.504103,0.78813,0.651607,0.007094,0.0
01-01 04,Bremen FIR,0.310133,0.015526,0.0,0.0,0.0,0.0
01-01 04,Brest FIR,0.12364,0.064778,0.0,0.0,0.0,0.0
01-01 04,Brindisi FIR,0.021321,0.10557,0.037068,0.014469,0.0,0.0
01-01 04,Brussels FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04,Bucarest FIR,0.0,0.042091,0.0,0.000703,0.020008,0.0
01-01 04,Budapest FIR,0.005514,0.287477,0.501584,0.364659,0.001858,0.0
01-01 04,Canarias FIR,0.0,0.011163,0.055904,0.113343,0.012074,0.0
01-01 04,China,0.008919,0.020735,0.016785,0.004507,0.001739,0.0
01-01 04,Chisinau FIR,0.0,0.0,0.0,0.0,0.004874,0.0
01-01 04,Continental Europe,0.068907,0.120483,0.072103,0.011329,0.0,0.0
01-01 04,Copenhagen FIR,0.312984,0.001101,0.0,0.0,0.0,0.0
01-01 04,Dnipro FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04,East Asia,0.00174,0.016373,0.013889,0.000343,0.004608,0.005008
01-01 04,European Airspace,0.0426,0.072923,0.066793,0.040639,0.009742,0.000704
01-01 04,Global,0.020737,0.022987,0.0202,0.021665,0.024629,0.020925
01-01 04,Helsinki FIR,0.0,0.002001,0.004016,0.0,0.0,0.0
