Hour,Region,Very warming,Extremely warming,Cooling,Persistent contrails,Warming
01-01 03,Continental Europe,0.062122,0.00483,0.005077,0.207016,0.20194
01-01 03,Copenhagen FIR,0.034911,0.0,0.0,0.125726,0.125726
01-01 03,Dnipro FIR,0.0,0.0,0.0,0.010509,0.010509
01-01 03,East Asia,0.00436,0.000525,0.037088,0.049143,0.012055
01-01 03,European Airspace,0.046905,0.007569,0.004481,0.162686,0.158205
01-01 03,Global,0.021893,0.005388,0.023377,0.08143,0.058053
01-01 03,Helsinki FIR,0.000742,0.0,0.0,0.01677,0.01677
01-01 03,India,0.001007,0.0,0.010612,0.015842,0.005229
01-01 03,Istanbul FIR,0.016664,0.0,0.035997,0.254393,0.218396
01-01 03,Kiev FIR,0.005486,0.0,0.067174,0.440801,0.373627
01-01 03,Langen FIR,0.010806,0.0,0.0,0.020326,0.020326
01-01 03,Latin America,0.046441,0.015699,7.4e-05,0.099257,0.099183
01-01 03,Lisboa FIR,0.002569,0.0,0.0011,0.047567,0.046467
01-01 03,Ljubljana FIR,0.0,0.0,0.0,0.001615,0.001615
01-01 03,London FIR,0.044378,0.008253,0.000262,0.07234,0.072078
01-01 03,Lvov FIR,0.098368,0.0,0.044308,0.674492,0.630184
01-01 03,Madrid FIR,0.046012,0.00031,0.012658,0.20332,0.190661
01-01 03,Malta FIR,0.000885,0.0,0.0,0.031592,0.031592
01-01 03,Marseille FIR,0.183575,0.033796,0.01869,0.386736,0.368046
01-01 03,Milano FIR,0.059825,0.018402,0.001312,0.131395,0.130084
01-01 03,Munchen FIR,0.032869,0.0,0.000544,0.075226,0.074682
01-01 03,Nicosia FIR,0.029333,0.0,0.016495,0.292055,0.27556
01-01 03,North Atlantic,0.027672,0.000651,4.5e-05,0.092714,0.092669
01-01 03,North Pacific,0.037255,0.004499,0.044002,0.154684,0.110682
01-01 03,Odessa FIR,0.0,0.0,0.000708,0.0238,0.023093
01-01 03,Paris FIR,0.016065,0.0,0.0,0.189993,0.189993
01-01 03,Polaris FIR,0.066419,0.015422,0.0,0.380703,0.380703
01-01 03,Praha FIR,0.079254,0.0,0.000709,0.371857,0.371148
01-01 03,Reims FIR,0.0,0.0,0.0,0.007333,0.007333
01-01 03,Reykjavik FIR,0.133896,0.048942,0.0,0.265358,0.265358
01-01 03,Riga FIR,0.170565,0.0,0.007331,0.619759,0.612428
01-01 03,Roma FIR,0.06587,0.0083,0.000231,0.198465,0.198234
01-01 03,Santa Maria FIR,0.027128,0.000605,0.0001,0.110268,0.110168
01-01 03,Sarajevo FIR,0.060618,0.001854,0.034089,0.510597,0.476508
01-01 03,Scottish FIR,0.004772,0.0,0.0,0.026492,0.026492
01-01 03,Shannon FIR,0.035894,0.002751,0.0,0.049912,0.049912
01-01 03,Shanwick FIR,0.033318,0.000972,0.0,0.161533,0.161533
01-01 03,Simferopol FIR,0.0,0.0,0.0,0.007741,0.007741
01-01 03,Skopje FIR,0.0,0.0,0.0,0.0,0.0
01-01 03,Sofia FIR,0.020554,0.000448,0.017497,0.083554,0.066056
01-01 03,Southeast Asia,0.009924,0.001244,0.060829,0.106852,0.046023
01-01 03,Sweden FIR,0.048174,0.00445,0.001361,0.241507,0.240146
01-01 03,Switzerland FIR,0.0,0.0,0.0,0.0,0.0
01-01 03,Tallinn FIR,0.015818,0.0,0.0,0.112901,0.112901
01-01 03,Tibilisi FIR,0.0,0.0,0.0,0.014098,0.014098
01-01 03,Tirana FIR,0.020973,0.0,0.017316,0.121044,0.103728
01-01 03,USA,0.018345,0.001656,0.0,0.057408,0.057408
01-01 03,Vilnius FIR,0.278374,0.0,0.001249,0.820251,0.819002
01-01 03,Warszawa FIR,0.122727,0.002693,0.000535,0.569812,0.569277
01-01 03,Wien FIR,0.008475,0.0,0.0,0.081481,0.081481
01-01 03,Yerevan FIR,0.0,0.0,0.020258,0.029154,0.008895
01-01 03,Zagreb FIR,0.053212,0.0,0.001377,0.241032,0.239655
01-01 04,Africa & Middle East,0.006649,0.000583,0.026699,0.063649,0.03695
01-01 04,Amsterdam FIR,0.030757,0.0,0.000292,0.073128,0.072836
01-01 04,Ankara FIR,0.000396,0.0,0.071315,0.133608,0.062293
01-01 04,Arctic,0.06494,0.023459,1.5e-05,0.155098,0.155083
