name,entries,exits,mean_count,timestamp
SHANNON FIR,20,3,11.923076923076923,adsb_2024_03_01_01_00_00_3600
SHANWICK FIR,5,5,2.5,adsb_2024_03_01_01_00_00_3600
SIMFEROPOL' FIR,0,0,,adsb_2024_03_01_01_00_00_3600
SKOPJE FIR,7,5,1.4,adsb_2024_03_01_01_00_00_3600
SWEDEN FIR,8,5,2.6153846153846154,adsb_2024_03_01_01_00_00_3600
SWITZERLAND FIR,11,6,3.076923076923077,adsb_2024_03_01_01_00_00_3600
TALLINN FIR,10,1,2.909090909090909,adsb_2024_03_01_01_00_00_3600
TBILISI FIR,62,17,17.0,adsb_2024_03_01_01_00_00_3600
TEL AVIV FIR,11,5,4.076923076923077,adsb_2024_03_01_01_00_00_3600
TIRANA FIR,8,6,2.1538461538461537,adsb_2024_03_01_01_00_00_3600
VILNIUS FIR,9,8,2.4166666666666665,adsb_2024_03_01_01_00_00_3600
WARSZAWA FIR,25,7,15.23076923076923,adsb_2024_03_01_01_00_00_3600
WIEN FIR,25,12,7.769230769230769,adsb_2024_03_01_01_00_00_3600
YEREVAN FIR,8,3,2.8461538461538463,adsb_2024_03_01_01_00_00_3600
ZAGREB FIR/UIR,9,7,2.3846153846153846,adsb_2024_03_01_01_00_00_3600
AMSTERDAM FIR,37,13,13.76923076923077,adsb_2024_03_01_02_00_00_3600
ANKARA FIR,163,70,52.69230769230769,adsb_2024_03_01_02_00_00_3600
ATHINAI FIR,79,34,38.30769230769231,adsb_2024_03_01_02_00_00_3600
BARCELONA FIR,17,8,6.615384615384615,adsb_2024_03_01_02_00_00_3600
BEOGRAD FIR,16,10,3.8461538461538463,adsb_2024_03_01_02_00_00_3600
BODO OCEANIC FIR,1,1,1.0,adsb_2024_03_01_02_00_00_3600
BORDEAUX FIR,5,3,2.230769230769231,adsb_2024_03_01_02_00_00_3600
BRATISLAVA FIR,17,13,4.384615384615385,adsb_2024_03_01_02_00_00_3600
BREMEN FIR,27,10,6.769230769230769,adsb_2024_03_01_02_00_00_3600
BREST FIR,2,1,1.0,adsb_2024_03_01_02_00_00_3600
BRINDISI FIR,13,8,3.6153846153846154,adsb_2024_03_01_02_00_00_3600
