,origin_airport,total_fuel_burn,total_contrail_energy_forcing,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100,contrail_co2_eq_20,contrail_co2_eq_100,contrail_impact_category,id,name,city,country,iata,lat,lon,altitude,tz_offset,dst,tz,type,source
446,LEMH,28943452.126846828,8.242112387312043e+16,91692856.33785075,3.525293929399021e+16,1.2980161748414805e+17,0.9819570430149052,0.266690606000639,0.045019223037553215,0.012226811711335474,Low contrail climate impact,1231.0,Menorca Airport,Menorca,Spain,MAH,39.86259841918945,4.218649864196777,302.0,1,E,Europe/Madrid,airport,OurAirports
447,LEMI,17936027.464802545,1.583532451769003e+17,56821335.00849447,2.1845966563384824e+16,8.043703169781861e+16,3.044422995948836,0.8268376091270133,0.0864940894801866,0.023491008392914313,High contrail climate impact,13829.0,Región de Murcia International Airport,Murcia,Spain,RMU,37.803,-1.125,632.0,1,E,\N,airport,OurAirports
448,LEMO,3789929.5132625243,6881153234494911.0,12006496.698015677,4616109870861524.0,1.6996555173046618e+16,0.6260865619189593,0.17003941852117185,0.003758553119175986,0.0010207888585034778,Low contrail climate impact,1232.0,Moron Air Base,Sevilla,Spain,OZP,37.17490005493164,-5.615940093994141,285.0,1,E,Europe/Madrid,airport,OurAirports
449,LEPA,376995792.5202171,2.1082605525125642e+18,1194322670.704048,4.591784604531488e+17,1.690698933886071e+18,1.9283775444985702,0.5237298103808616,1.1515525095356234,0.31275119293069764,Average contrail climate impact,3998.0,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,39.551700592,2.73881006241,27.0,1,E,Europe/Madrid,airport,OurAirports
450,LEPP,2240887.264496202,6156518175627274.0,7099130.853923969,2729386334212878.0,1.0049623322624824e+16,0.9473695978290851,0.2572969703194901,0.0033627503710090003,0.0009132924303081261,Low contrail climate impact,1234.0,Pamplona Airport,Pamplona,Spain,PNA,42.77000045776367,-1.6463299989700315,1504.0,1,E,Europe/Madrid,airport,OurAirports
451,LERJ,43028.58977423818,140236314648429.25,136314.57240478657,52408546726540.03,192968707612364.97,1.1238482238339442,0.3052269607912644,7.659844503990148e-05,2.080344132333688e-05,Low contrail climate impact,,,,,,,,,,,,,
452,LERL,35017.07270019321,13686458811987.057,110934.0863142121,42650570247911.805,157039756561348.9,0.13477692484817372,0.03660418754399264,7.47567750713569e-06,2.0303260502334432e-06,Low contrail climate impact,7489.0,Ciudad Real Central Airport,Ciudad Real,Spain,CQM,38.8563888889,-3.97,0.0,1,U,Europe/Madrid,airport,OurAirports
453,LERS,13351628.856152356,7.987656245752933e+16,42297960.21629067,1.6262198423291688e+16,5.987755067990245e+16,2.062953320266505,0.5602793676632896,0.043629358734348686,0.011849337201715156,Average contrail climate impact,1236.0,Reus Air Base,Reus,Spain,REU,41.14739990234375,1.1671700477600098,233.0,1,E,Europe/Madrid,airport,OurAirports
454,LERT,19150884.393767122,5.2966992379979704e+16,60670001.75945424,2.3325654521130084e+16,8.588525514056266e+16,0.9537197243249613,0.2590216069473475,0.02893108867641081,0.007857420674616119,Low contrail climate impact,1237.0,Rota Naval Station Airport,Rota,Spain,ROZ,36.645198822,-6.34946012497,86.0,1,E,Europe/Madrid,airport,OurAirports
455,LESA,157971.69397196677,200168636111389.16,500454.32650319074,192408511374390.8,708449748993572.9,0.4369392318783518,0.11866872320332511,0.00010933406450625103,2.9694137973856814e-05,Low contrail climate impact,1238.0,Salamanca Airport,Salamanca,Spain,SLM,40.95209884643555,-5.501989841461182,2595.0,1,E,Europe/Madrid,airport,OurAirports
