,time,file,region_id,area_km2,pt in mask,vol_km3,width_km,length_km,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing
592002,2024-08-17 23:00:00,20240817T23.nc,55,105484.766,198,192910.539375,191.72018,361.3835,1828.8,520.5450989107478,365.0,46.395817,21.367603,1549862500.0,2746054100.0,536366340.0
1186451,2024-11-30 07:00:00,20241130T07.nc,198,28200.465,55,42977.50842187502,184.45213,111.19492,1524.000000000001,431.0522938113194,320.0,48.43057,-3.3477626,930128200.0,1848626400.0,326264500.0
982038,2024-10-29 01:00:00,20241029T01.nc,44,2391.5688,4,728.9501847656251,64.52396,55.59746,304.8,0.0,330.0,39.312336,-44.999992,564766500.0,700158800.0,78179530.0
209969,2024-03-29 19:00:00,20240329T19.nc,57,80819.516,155,98535.15344999995,225.13094,333.58478,1219.1999999999996,340.7767597709678,325.0,47.554882,-66.01519,887977500.0,1487470600.0,257981950.0
1055779,2024-11-10 22:00:00,20241110T22.nc,104,596.2879,1,181.74855278320317,21.450186,27.79873,304.8,0.0,290.0,39.5,36.25,843069060.0,843069060.0,0.0
1065280,2024-11-12 10:00:00,20241112T10.nc,130,30514.158,62,27902.146260937458,194.76123,166.79239,914.3999999999984,248.8681578667703,320.0,50.437473,15.8763895,693681200.0,981770240.0,125663650.0
978738,2024-10-28 08:00:00,20241028T08.nc,20,31905.363,55,38899.01891250005,208.68794,166.79239,1219.2000000000014,340.77675977096834,365.0,41.34806,-41.192963,618058940.0,943991940.0,104441330.0
37552,2024-01-17 22:00:00,20240117T22.nc,50,560.5471,1,170.85476191406252,20.164488,27.79873,304.8,0.0,330.0,43.5,21.999998,500641440.0,500641440.0,0.0
1021743,2024-11-05 21:00:00,20241105T21.nc,276,9128.273,27,8346.893231250004,97.300285,83.396194,914.4000000000004,248.86815786677104,360.0,64.05417,18.58549,652095740.0,819261500.0,109216610.0
1258870,2024-12-11 12:00:00,20241211T12.nc,165,527.02747,1,160.63797158203127,18.958689,27.79873,304.8,0.0,300.0,47.0,-29.249996,512312600.0,512312600.0,0.0
1232662,2024-12-07 10:00:00,20241207T10.nc,247,892.0003,2,271.8816930175782,32.087807,27.79873,304.8,0.0,280.0,54.75,-86.37499,542921860.0,575561700.0,32639840.0
455263,2024-06-24 14:00:00,20240624T14.nc,18,596.2879,1,181.74855278320317,21.450186,27.79873,304.8,0.0,400.0,39.5,-65.49999,501900640.0,501900640.0,0.0
673738,2024-09-12 03:00:00,20240912T03.nc,50,1288.8031,2,392.8271850585937,46.361942,27.79873,304.8,0.0,380.0,33.5,-75.625,728425340.0,832740100.0,104314780.0
572425,2024-08-09 21:00:00,20240809T21.nc,27,548.80963,1,167.27717563476563,19.742254,27.79873,304.8,0.0,400.0,44.75,-74.24999,504460960.0,504460960.0,0.0
1110607,2024-11-19 00:00:00,20241119T00.nc,155,527.02747,1,160.63797158203127,18.958689,27.79873,304.8,0.0,290.0,47.0,-66.25,535124830.0,535124830.0,0.0
851433,2024-10-07 01:00:00,20241007T01.nc,173,443.24237,1,135.1002745605469,15.944699,27.79873,304.8,0.0,310.0,55.0,31.75,563009100.0,563009100.0,0.0
490657,2024-07-09 21:00:00,20240709T21.nc,30,585.4231,1,178.4369595703125,21.059347,27.79873,304.8,0.0,410.0,40.75,-80.24999,892218400.0,892218400.0,0.0
794978,2024-09-27 17:00:00,20240927T17.nc,237,522.07544,1,159.12859394531253,18.78055,27.79873,304.8,0.0,360.0,47.5,-28.249998,510852860.0,510852860.0,0.0
518929,2024-07-20 23:00:00,20240720T23.nc,82,400.8921,1,122.19190898437502,14.421237,27.79873,304.8,0.0,300.0,58.75,-69.75,535952130.0,535952130.0,0.0
754862,2024-09-23 06:00:00,20240923T06.nc,267,5401.955,16,3293.0318156249955,72.872955,55.59746,609.5999999999992,152.39999999999964,325.0,64.09322,-35.32754,600734700.0,702717400.0,50080036.0
1314057,2024-12-20 11:00:00,20241220T11.nc,20,636.85956,1,194.11479331054687,22.909664,27.79873,304.8,0.0,350.0,34.5,-38.249996,573536900.0,573536900.0,0.0
441059,2024-06-19 00:00:00,20240619T00.nc,81,412302.0,1027,628348.2480000003,434.18652,778.36456,1524.000000000001,431.0522938113196,340.0,58.625404,-4.72584,861382900.0,1800938000.0,290647040.0
663925,2024-09-10 18:00:00,20240910T18.nc,218,1150.3828,3,701.2733624999992,27.588379,27.79873,609.5999999999992,152.39999999999964,315.0,60.25,36.33333,631797440.0,753428000.0,92735280.0
908124,2024-10-16 05:00:00,20241016T05.nc,140,4792.4443,11,4382.211100781252,62.691372,83.396194,914.4000000000004,248.86815786677104,350.0,55.681202,-78.40924,644470850.0,885321600.0,84408800.0
777162,2024-09-25 22:00:00,20240925T22.nc,249,412.361,1,125.68763049316406,14.833806,27.79873,304.8,0.0,340.0,57.75,19.499998,630586500.0,630586500.0,0.0
1200893,2024-12-01 20:00:00,20241201T20.nc,194,565.1678,1,172.26314106445315,20.330706,27.79873,304.8,0.0,280.0,43.0,27.999998,640501400.0,640501400.0,0.0
1106570,2024-11-18 07:00:00,20241118T07.nc,177,10604.024,22,6464.213282812492,104.05001,222.38985,609.5999999999992,152.39999999999964,315.0,51.40368,-60.583664,819619900.0,1699213400.0,274975330.0
727038,2024-09-19 10:00:00,20240919T10.nc,119,527.02747,1,160.63797158203127,18.958689,27.79873,304.8,0.0,360.0,47.0,-88.49999,531803070.0,531803070.0,0.0
90805,2024-02-09 07:00:00,20240209T07.nc,212,869.837,2,265.12631000976563,31.29053,27.79873,304.8,0.0,360.0,55.75,7.125,1511246600.0,1611873500.0,100626940.0
932320,2024-10-19 22:00:00,20241019T22.nc,180,456.94604,1,139.27715449218752,16.43766,27.79873,304.8,0.0,300.0,53.75,-51.499996,547609200.0,547609200.0,0.0
1327260,2024-12-23 06:00:00,20241223T06.nc,294,308.14114,1,93.92142062988282,11.084721,27.79873,304.8,0.0,300.0,66.5,-14.499999,515325980.0,515325980.0,0.0
