date,fir_code,fir_name,big_hit_count
2019-01-07,LMMM,Malta FIR,0
2019-01-07,LOVV,Wien FIR,18
2019-01-07,LPPC,Lisboa FIR,42
2019-01-07,LPPO,Santa Maria FIR,0
2019-01-07,LQSB,Sarajevo FIR,2
2019-01-07,LRBB,Bucarest FIR,11
2019-01-07,LSAS,Switzerland FIR,25
2019-01-07,LUUU,Chisinau FIR,1
2019-01-07,LWSS,Skopje FIR,0
2019-01-07,LYBA,Beograd FIR,1
2019-01-07,LZBB,Bratislava  FIR,2
2019-01-07,UKBV,Kiev FIR,5
2019-01-07,UKDV,Dnipro FIR,0
2019-01-07,UKLV,Lvov FIR,0
2019-01-07,UKOV,Odessa FIR,0
2019-01-07,ULLL,Sankt-Peterburg FIR,7
2019-01-07,UMKK,Kaliningrad FIR,0
2019-01-07,UMMV,Minsk FIR,0
2019-01-07,UNNT,Novosibirsk FIR,1
2019-01-07,URRV,Rostov-Na-Donu FIR,0
2019-01-07,USSV,Yekaterinburg FIR,0
2019-01-07,UUWV,Moscow FIR,31
2019-01-07,UWWW,Samara FIR,0
2019-01-08,BIRD,Reykjavik FIR,17
2019-01-08,EBBU,Brussels FIR,22
2019-01-08,EDGG,Langen FIR,114
2019-01-08,EDMM,Munchen FIR,53
2019-01-08,EDWW,Bremen FIR,10
2019-01-08,EETT,Tallinn FIR,3
2019-01-08,EFIN,Helsinki FIR,34
2019-01-08,EGPX,Scottish FIR,11
2019-01-08,EGTT,London FIR,214
2019-01-08,EHAA,Amsterdam FIR,60
2019-01-08,EISN,Shannon FIR,28
2019-01-08,EKDK,Copenhagen FIR,13
2019-01-08,ENOR,Polaris FIR,8
2019-01-08,EPWW,Warszawa FIR,8
2019-01-08,ESAA,Sweden FIR,14
2019-01-08,EVRR,Riga FIR,2
2019-01-08,EYVL,Vilnius FIR,1
2019-01-08,GCCC,Canarias FIR,10
2019-01-08,GMMM,Casablanca FIR,0
2019-01-08,LAAA,Tirana FIR,1
2019-01-08,LBSR,Sofia FIR,3
2019-01-08,LDZO,Zagreb FIR,2
2019-01-08,LECB,Barcelona FIR,47
2019-01-08,LECM,Madrid FIR,42
2019-01-08,LFBB,Bordeaux FIR,4
2019-01-08,LFEE,Reims FIR,2
2019-01-08,LFFF,Paris FIR,82
2019-01-08,LFMM,Marseille FIR,3
2019-01-08,LFRR,Brest FIR,1
2019-01-08,LGGG,Athinai FIR,12
2019-01-08,LHCC,Budapest FIR,2
2019-01-08,LIBB,Brindisi FIR,3
2019-01-08,LIMM,Milano FIR,17
2019-01-08,LIRR,Roma FIR,32
2019-01-08,LJLA,Ljubljana FIR,0
2019-01-08,LKAA,Praha FIR,7
2019-01-08,LMMM,Malta FIR,0
2019-01-08,LOVV,Wien FIR,8
2019-01-08,LPPC,Lisboa FIR,29
2019-01-08,LPPO,Santa Maria FIR,0
2019-01-08,LQSB,Sarajevo FIR,0
2019-01-08,LRBB,Bucarest FIR,5
2019-01-08,LSAS,Switzerland FIR,27
2019-01-08,LUUU,Chisinau FIR,0
2019-01-08,LWSS,Skopje FIR,0
2019-01-08,LYBA,Beograd FIR,0
2019-01-08,LZBB,Bratislava  FIR,1
2019-01-08,UKBV,Kiev FIR,0
2019-01-08,UKDV,Dnipro FIR,0
2019-01-08,UKLV,Lvov FIR,1
2019-01-08,UKOV,Odessa FIR,0
2019-01-08,ULLL,Sankt-Peterburg FIR,10
